SAMPLE ID    LOCATION                   COLLECTION YEAR      WEIGHT                   TYPE OF THE SAMPLE

"PY1               Kannur district, Kerala     2021-2023           1 gm of pooled sample     Dry pooled Pigeon droppings"

"PY2               Kannur district, Kerala	 2021-2023           1 gm of pooled sample     Fresh pooled Pigeon droppings"
